tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A1,1,0.3375,0.11964286,0.23392857,0.30892857,0.3375
B1,2,0.46428571,0.21428571,0.32142857,0.46428571,0
A2,4,0.42857143,0.16071429,0.42857143,0.41071429,0
A2,4,0.50727513,0.18320106,0.50727513,0.30952381,0
B2,4,0.38825032,0.38825032,0.35887612,0.16666667,0.0862069
B2,4,0.50862069,0.50862069,0.33374384,0,0.15763547
B2,4,0.58928571,0.58928571,0.26785714,0,0.14285714
B2,4,0.60714286,0.60714286,0.25,0,0.14285714
B2,3,0.48214286,0.48214286,0.16071429,0.10714286,0.25
B2,2,0.44642857,0.44642857,0,0.21428571,0.33928571
B1,4,0.41071429,0.23214286,0.10714286,0.41071429,0.25
B1,4,0.53571429,0,0.19642857,0.53571429,0.26785714
B1,4,0.5,0,0.19642857,0.5,0.30357143
B1,4,0.51785714,0,0.23214286,0.51785714,0.25
B1,4,0.58928571,0,0.16071429,0.58928571,0.25
B1,3,0.53571429,0.03571429,0.03571429,0.53571429,0.39285714
A1,4,0.58928571,0.10714286,0,0.30357143,0.58928571
A1,4,0.69179894,0.12698413,0,0.18121693,0.69179894
A1,3,0.49537037,0.35912698,0.07142857,0.07407407,0.49537037
B2,4,0.53571429,0.53571429,0.17857143,0,0.28571429
B2,3,0.42857143,0.42857143,0.30357143,0.10714286,0.16071429
A2,4,0.42857143,0.375,0.42857143,0.19642857,0
A2,4,0.51785714,0.25,0.51785714,0.23214286,0
A2,3,0.42857143,0.07142857,0.42857143,0.35714286,0.14285714
B1,4,0.44642857,0,0.33928571,0.44642857,0.21428571
B1,4,0.55357143,0,0.33928571,0.55357143,0.10714286
B1,4,0.69642857,0,0.19642857,0.69642857,0.10714286
B1,3,0.60714286,0.10714286,0.05357143,0.60714286,0.23214286
A1,4,0.40145503,0.21825397,0,0.38029101,0.40145503
A1,4,0.49074074,0.20039683,0,0.30886243,0.49074074
A1,4,0.51785714,0.125,0,0.35714286,0.51785714
A1,4,0.60714286,0.08928571,0,0.30357143,0.60714286
A1,3,0.48214286,0.28571429,0.125,0.10714286,0.48214286
B2,4,0.51785714,0.51785714,0.21428571,0,0.26785714
B2,4,0.51785714,0.51785714,0.125,0,0.35714286
B2,4,0.60714286,0.60714286,0.08928571,0,0.30357143
B2,2,0.53571429,0.53571429,0.25,0.14285714,0.07142857
A2,3,0.35714286,0.16071429,0.35714286,0.30357143,0.17857143
B1,4,0.41071429,0,0.25,0.41071429,0.33928571
B1,4,0.5,0,0.19642857,0.5,0.30357143
B1,4,0.48214286,0,0.26785714,0.48214286,0.25
B1,4,0.55357143,0,0.33928571,0.55357143,0.10714286
B1,4,0.625,0,0.26785714,0.625,0.10714286
B1,4,0.53571429,0,0.26785714,0.53571429,0.19642857
B1,2,0.375,0.08928571,0.17857143,0.375,0.35714286
A1,4,0.5,0.19642857,0,0.30357143,0.5
A1,3,0.39285714,0.33928571,0.10714286,0.16071429,0.39285714
B2,4,0.55357143,0.55357143,0.21428571,0,0.23214286
B2,4,0.66071429,0.66071429,0.125,0,0.21428571
B2,4,0.66071429,0.66071429,0.05357143,0,0.28571429
B2,2,0.5,0.5,0.03571429,0.01785714,0.44642857
A1,3,0.41071429,0.17857143,0.19642857,0.21428571,0.41071429
B1,4,0.42857143,0,0.26785714,0.42857143,0.30357143
B1,4,0.50992063,0,0.18253968,0.50992063,0.30753968
B1,4,0.50992063,0,0.18253968,0.50992063,0.30753968
B1,4,0.44642857,0,0.23214286,0.44642857,0.32142857
B1,4,0.48214286,0,0.26785714,0.48214286,0.25
B1,4,0.51785714,0,0.25,0.51785714,0.23214286
B1,4,0.51785714,0,0.32142857,0.51785714,0.16071429
B1,3,0.5,0.03571429,0.41071429,0.5,0.05357143
A2,2,0.41071429,0.19642857,0.41071429,0.23214286,0.16071429
A2,2,0.35714286,0.33928571,0.35714286,0,0.30357143
B2,4,0.46428571,0.46428571,0.33928571,0,0.19642857
B2,3,0.42857143,0.42857143,0.16071429,0.14285714,0.26785714
A1,4,0.44642857,0.30357143,0,0.25,0.44642857
B2,2,0.41071429,0.41071429,0,0.19642857,0.39285714
A1,4,0.44642857,0.33928571,0,0.21428571,0.44642857
A1,4,0.625,0.21428571,0,0.16071429,0.625
A1,3,0.5,0.125,0.10714286,0.26785714,0.5
