tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A1,3,0.55178571,0.0125,0.12678571,0.30892857,0.55178571
B1,4,0.45504926,0,0.20997537,0.45504926,0.33497537
B1,4,0.5862069,0,0.20689655,0.5862069,0.20689655
B1,4,0.61330049,0,0.17549261,0.61330049,0.2112069
B1,4,0.58201058,0,0.16335979,0.58201058,0.25462963
B1,3,0.4212963,0.125,0.07407407,0.4212963,0.37962963
A1,4,0.46428571,0.28571429,0,0.25,0.46428571
A1,4,0.46428571,0.32142857,0,0.21428571,0.46428571
A1,4,0.44642857,0.375,0,0.17857143,0.44642857
A1,3,0.35714286,0.21428571,0.23214286,0.19642857,0.35714286
A2,2,0.39285714,0,0.39285714,0.25,0.35714286
A2,2,0.36761084,0,0.36761084,0.31527094,0.31711823
B1,4,0.38669951,0,0.33189655,0.38669951,0.28140394
B1,4,0.42118227,0,0.24568966,0.42118227,0.33312808
A2,2,0.35283251,0,0.35283251,0.33189655,0.31527094
A2,2,0.46428571,0,0.46428571,0.32142857,0.21428571
A2,2,0.46428571,0,0.46428571,0.39285714,0.14285714
B1,3,0.42857143,0.25,0.23214286,0.42857143,0.08928571
B2,2,0.57142857,0.57142857,0,0.33928571,0.08928571
B2,2,0.57142857,0.57142857,0,0.17857143,0.25
B2,2,0.57142857,0.57142857,0,0.125,0.30357143
B2,2,0.55357143,0.55357143,0,0.125,0.32142857
B2,2,0.5,0.5,0,0.08928571,0.41071429
A2,2,0.30357143,0.26785714,0.30357143,0.16071429,0.26785714
A2,2,0.67857143,0,0.67857143,0.21428571,0.10714286
A2,2,0.71428571,0,0.71428571,0.14285714,0.14285714
A2,2,0.69642857,0,0.69642857,0.17857143,0.125
A2,2,0.75,0,0.75,0.17857143,0.07142857
A2,2,0.80026455,0,0.80026455,0.12698413,0.07275132
A2,2,0.78240741,0,0.78240741,0.14484127,0.07275132
B2,2,0.37931034,0.37931034,0.375,0.19273399,0.05295567
B2,2,0.77216749,0.77216749,0,0.19273399,0.03509852
B2,2,0.80357143,0.80357143,0,0.14285714,0.05357143
B2,2,0.85899015,0.85899015,0,0.07081281,0.07019704
B2,2,0.91256158,0.91256158,0,0.01724138,0.07019704
B2,2,0.96428571,0.96428571,0,0,0.03571429
B2,2,0.98214286,0.98214286,0,0,0.01785714
B2,1,0.48214286,0.48214286,0.46428571,0,0.05357143
A2,2,0.94642857,0,0.94642857,0,0.05357143
A2,2,0.98214286,0,0.98214286,0,0.01785714
A2,2,1,0,1,0,0
A2,2,0.98214286,0,0.98214286,0.01785714,0
A2,2,0.96428571,0,0.96428571,0.03571429,0
A2,2,0.98214286,0,0.98214286,0.01785714,0
A2,1,0.5,0.5,0.5,0,0
B2,2,1,1,0,0,0
B2,2,0.96428571,0.96428571,0,0,0.03571429
B2,2,0.96428571,0.96428571,0,0,0.03571429
B2,2,1,1,0,0,0
B2,1,0.5,0.5,0.48275862,0,0.01724138
A2,2,0.98275862,0,0.98275862,0,0.01724138
A2,2,1,0,1,0,0
A2,2,1,0,1,0,0
A2,2,1,0,1,0,0
A2,2,1,0,1,0,0
A2,1,0.5,0.5,0.5,0,0
B2,2,1,1,0,0,0
