tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A1,1,0.4,0.17321429,0.26964286,0.15714286,0.4
A2,4,0.4375,0.38392857,0.4375,0.08928571,0.08928571
A2,4,0.46397783,0.41286946,0.46397783,0.07912562,0.04402709
A2,4,0.49969212,0.35929803,0.49969212,0.09698276,0.04402709
B2,3,0.4375,0.4375,0.41071429,0.07142857,0.08035714
B2,3,0.42857143,0.42857143,0.38392857,0.04464286,0.14285714
A2,3,0.36945813,0.20381773,0.36945813,0.17364532,0.25307882
B1,4,0.32758621,0.13793103,0.23275862,0.32758621,0.30172414
B1,4,0.37715517,0.19304187,0.14901478,0.37715517,0.28078818
B1,4,0.39285714,0.11607143,0.17857143,0.39285714,0.3125
B1,4,0.35714286,0.08035714,0.21428571,0.35714286,0.34821429
B1,4,0.34821429,0.14285714,0.1875,0.34821429,0.32142857
B1,3,0.35714286,0.16071429,0.125,0.35714286,0.35714286
A1,4,0.36607143,0.10714286,0.17857143,0.34821429,0.36607143
B1,3,0.32638889,0.11011905,0.29133598,0.32638889,0.27215608
A1,4,0.28703704,0.25925926,0.19444444,0.25925926,0.28703704
B2,2,0.27414021,0.27414021,0.21560847,0.24537037,0.26488095
B1,3,0.34821429,0.16964286,0.25892857,0.34821429,0.22321429
B1,3,0.35714286,0.22321429,0.11607143,0.35714286,0.30357143
B1,3,0.39285714,0.24107143,0.08928571,0.39285714,0.27678571
B1,3,0.38392857,0.16071429,0.16071429,0.38392857,0.29464286
A1,4,0.40178571,0.16964286,0.1875,0.24107143,0.40178571
B2,2,0.27678571,0.27678571,0.19642857,0.25892857,0.26785714
B2,3,0.29464286,0.29464286,0.22321429,0.25892857,0.22321429
A1,4,0.33035714,0.26785714,0.16964286,0.23214286,0.33035714
A1,4,0.33035714,0.30357143,0.14285714,0.22321429,0.33035714
A1,4,0.29464286,0.26785714,0.16071429,0.27678571,0.29464286
A1,3,0.3125,0.24107143,0.1875,0.25892857,0.3125
B1,4,0.34821429,0.20535714,0.125,0.34821429,0.32142857
B1,4,0.45535714,0.10714286,0.10714286,0.45535714,0.33035714
A1,3,0.39285714,0.125,0.1875,0.29464286,0.39285714
A1,3,0.38392857,0.17857143,0.16964286,0.26785714,0.38392857
B1,4,0.34556878,0.19146825,0.1547619,0.34556878,0.30820106
B1,4,0.35449735,0.25396825,0.14583333,0.35449735,0.24570106
B1,4,0.33928571,0.25,0.16964286,0.33928571,0.24107143
B1,4,0.34821429,0.16964286,0.27678571,0.34821429,0.20535714
B1,4,0.375,0.20535714,0.26785714,0.375,0.15178571
B2,1,0.27678571,0.27678571,0.24107143,0.25892857,0.22321429
B2,1,0.27678571,0.27678571,0.27678571,0.16964286,0.27678571
B2,2,0.27678571,0.27678571,0.24107143,0.21428571,0.26785714
A1,3,0.29464286,0.21428571,0.23214286,0.25892857,0.29464286
B1,4,0.33928571,0.16071429,0.1875,0.33928571,0.3125
B1,4,0.41964286,0.15178571,0.13392857,0.41964286,0.29464286
B1,4,0.45535714,0.08928571,0.13392857,0.45535714,0.32142857
A1,3,0.375,0.08035714,0.17857143,0.36607143,0.375
A1,3,0.30357143,0.1875,0.21428571,0.29464286,0.30357143
