tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A1,3,0.56071429,0.04821429,0.07321429,0.31785714,0.56071429
A1,3,0.41286946,0.13054187,0.06157635,0.39501232,0.41286946
B1,4,0.48429803,0.14839901,0.02586207,0.48429803,0.34144089
B1,4,0.6875,0.0625,0.02678571,0.6875,0.22321429
B1,4,0.73214286,0.05357143,0.07142857,0.73214286,0.14285714
B1,4,0.69642857,0.04464286,0.08928571,0.69642857,0.16964286
B1,4,0.66071429,0,0.0625,0.66071429,0.27678571
B1,3,0.51785714,0.03571429,0.03571429,0.51785714,0.41071429
A1,4,0.45436508,0.0542328,0.05489418,0.43650794,0.45436508
A1,4,0.53472222,0.03637566,0.08167989,0.34722222,0.53472222
A1,4,0.58035714,0.03571429,0.05357143,0.33035714,0.58035714
A1,4,0.62130542,0.02647783,0.02616995,0.3260468,0.62130542
A1,4,0.71059113,0.02647783,0.01724138,0.24568966,0.71059113
A1,4,0.60714286,0.05357143,0.00892857,0.33035714,0.60714286
A1,3,0.53571429,0.07142857,0.00892857,0.38392857,0.53571429
B1,4,0.5,0.03571429,0,0.5,0.46428571
B1,4,0.7010582,0,0.01851852,0.7010582,0.28042328
B1,4,0.6385582,0,0.01851852,0.6385582,0.34292328
B1,4,0.54596561,0,0,0.54596561,0.45403439
B1,4,0.55555556,0.01851852,0,0.55555556,0.42592593
B1,4,0.5462963,0.01851852,0,0.5462963,0.43518519
B1,4,0.56481481,0,0.01851852,0.56481481,0.41666667
B1,4,0.59259259,0,0.03703704,0.59259259,0.37037037
B1,4,0.54662698,0.01785714,0.01851852,0.54662698,0.41699735
B1,4,0.50892857,0.01785714,0.0625,0.50892857,0.41071429
A1,4,0.46428571,0.00892857,0.07142857,0.45535714,0.46428571
A1,4,0.52740148,0.02616995,0.00892857,0.4375,0.52740148
A1,4,0.54310345,0.01724138,0,0.43965517,0.54310345
A1,4,0.60664112,0,0,0.39335888,0.60664112
A1,4,0.58201058,0,0,0.41798942,0.58201058
A1,3,0.5542328,0.02777778,0.02777778,0.39021164,0.5542328
A1,3,0.47222222,0.0462963,0.03703704,0.44444444,0.47222222
B1,4,0.60472542,0.01851852,0.05236271,0.60472542,0.32439336
B1,4,0.56034483,0.01724138,0.04310345,0.56034483,0.37931034
A1,3,0.48183498,0.05295567,0,0.46520936,0.48183498
A1,3,0.52678571,0.04464286,0,0.42857143,0.52678571
A1,3,0.60714286,0.00892857,0,0.38392857,0.60714286
