tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
A1,3,0.47142857,0.03035714,0.17142857,0.32678571,0.47142857
B1,4,0.4375,0.03571429,0.17857143,0.4375,0.34821429
B1,4,0.47321429,0.05357143,0.13392857,0.47321429,0.33928571
B1,4,0.5,0.10714286,0.16071429,0.5,0.23214286
B1,4,0.45535714,0.11607143,0.16071429,0.45535714,0.26785714
B1,4,0.47259852,0.096367,0.15825123,0.47259852,0.27278325
B1,3,0.45689655,0.10344828,0.12068966,0.45689655,0.31896552
A1,4,0.45689655,0.10529557,0.08743842,0.35036946,0.45689655
A1,4,0.47321429,0.14285714,0.05357143,0.33035714,0.47321429
A1,4,0.49107143,0.17857143,0.02678571,0.30357143,0.49107143
A1,4,0.54464286,0.16964286,0.02678571,0.25892857,0.54464286
A1,3,0.46428571,0.16071429,0.08928571,0.28571429,0.46428571
B1,4,0.5,0.08035714,0.09821429,0.5,0.32142857
B1,4,0.67857143,0.05357143,0.0625,0.67857143,0.20535714
B1,4,0.63392857,0.08928571,0.13392857,0.63392857,0.14285714
B1,4,0.52678571,0.08035714,0.15178571,0.52678571,0.24107143
B1,3,0.42857143,0.08035714,0.10714286,0.42857143,0.38392857
A1,4,0.47321429,0.16964286,0.08035714,0.27678571,0.47321429
A1,4,0.55522487,0.18948413,0.06382275,0.19146825,0.55522487
A1,4,0.55522487,0.10019841,0.06382275,0.28075397,0.55522487
A1,4,0.50892857,0.09821429,0.04464286,0.34821429,0.50892857
B1,4,0.41964286,0.08035714,0.08928571,0.41964286,0.41071429
B1,4,0.55357143,0.0625,0.09821429,0.55357143,0.28571429
B1,4,0.61607143,0.0625,0.09821429,0.61607143,0.22321429
B1,4,0.63392857,0.08928571,0.125,0.63392857,0.15178571
B1,4,0.57142857,0.08035714,0.15178571,0.57142857,0.19642857
A1,4,0.41071429,0.03571429,0.15178571,0.40178571,0.41071429
A1,4,0.45535714,0.0625,0.15178571,0.33035714,0.45535714
A1,4,0.44642857,0.10714286,0.125,0.32142857,0.44642857
A1,4,0.55357143,0.11607143,0.05357143,0.27678571,0.55357143
A1,4,0.42857143,0.13392857,0.11607143,0.32142857,0.42857143
A1,4,0.40178571,0.14285714,0.14285714,0.3125,0.40178571
A1,3,0.48214286,0.10714286,0.08035714,0.33035714,0.48214286
A1,3,0.4375,0.07142857,0.0625,0.42857143,0.4375
B1,4,0.46428571,0.06988916,0.12192118,0.46428571,0.34390394
B1,4,0.50892857,0.08774631,0.0862069,0.50892857,0.31711823
B1,4,0.55357143,0.04464286,0.11607143,0.55357143,0.28571429
B1,4,0.51686508,0.05555556,0.17162698,0.51686508,0.25595238
B1,3,0.46296296,0.08333333,0.12037037,0.46296296,0.33333333
A1,4,0.43452381,0.09920635,0.09160053,0.37466931,0.43452381
A1,4,0.50859788,0.17328042,0.04530423,0.27281746,0.50859788
A1,4,0.45502646,0.25363757,0.03637566,0.25496032,0.45502646
A1,4,0.50892857,0.1875,0.03571429,0.26785714,0.50892857
A1,3,0.40178571,0.15178571,0.10714286,0.33928571,0.40178571
B1,4,0.39285714,0.16071429,0.21428571,0.39285714,0.23214286
B1,4,0.45535714,0.07142857,0.1875,0.45535714,0.28571429
B1,4,0.51785714,0.04464286,0.125,0.51785714,0.3125
B1,4,0.58035714,0.01785714,0.08928571,0.58035714,0.3125
B1,4,0.53663793,0.05172414,0.04402709,0.53663793,0.36761084
A1,4,0.42118227,0.08743842,0.07974138,0.41163793,0.42118227
A1,4,0.51785714,0.0625,0.07142857,0.34821429,0.51785714
A1,4,0.55357143,0.10437192,0.03479064,0.30726601,0.55357143
A1,4,0.51851852,0.10536398,0.06289911,0.31321839,0.51851852
A1,4,0.46494709,0.10813492,0.03703704,0.38988095,0.46494709
B1,4,0.47321429,0.0896164,0.08333333,0.47321429,0.35383598
B1,4,0.50892857,0.05390212,0.17261905,0.50892857,0.26455026
B1,4,0.50892857,0.07142857,0.21428571,0.50892857,0.20535714
B1,4,0.49137931,0.09575123,0.17672414,0.49137931,0.23614532
B1,4,0.39316502,0.11360837,0.11422414,0.39316502,0.37900246
A1,4,0.51785714,0.14285714,0.07142857,0.26785714,0.51785714
A1,4,0.59821429,0.14285714,0.07142857,0.1875,0.59821429
A1,4,0.5625,0.13392857,0.07142857,0.23214286,0.5625
B1,4,0.47321429,0.10714286,0.04464286,0.47321429,0.375
B1,4,0.57142857,0.08035714,0.0625,0.57142857,0.28571429
B1,4,0.50892857,0.0625,0.13392857,0.50892857,0.29464286
B1,4,0.66964286,0,0.11607143,0.66964286,0.21428571
B1,4,0.58928571,0.03571429,0.07142857,0.58928571,0.30357143
A1,3,0.46428571,0.08928571,0.14285714,0.30357143,0.46428571
A1,4,0.42857143,0.19642857,0.125,0.25,0.42857143
A1,4,0.46428571,0.23214286,0.08035714,0.22321429,0.46428571
A1,4,0.51785714,0.10714286,0.07142857,0.30357143,0.51785714
A1,4,0.44642857,0.0625,0.09821429,0.39285714,0.44642857
B1,4,0.52678571,0.0625,0.13392857,0.52678571,0.27678571
B1,4,0.66964286,0.05357143,0.08928571,0.66964286,0.1875
B1,4,0.69642857,0.0625,0.04464286,0.69642857,0.19642857
B1,4,0.625,0.0625,0.11607143,0.625,0.19642857
B1,3,0.40578818,0.09605911,0.10652709,0.40578818,0.39162562
A1,4,0.59003831,0.14367816,0.05427842,0.21200511,0.59003831
A1,4,0.60912698,0.2172619,0.03703704,0.13657407,0.60912698
A1,4,0.59821429,0.25,0,0.15178571,0.59821429
A1,4,0.47321429,0.1875,0.04464286,0.29464286,0.47321429
B1,4,0.5,0.10714286,0.125,0.5,0.26785714
B1,4,0.625,0.03571429,0.16964286,0.625,0.16964286
B1,4,0.61607143,0.01785714,0.14285714,0.61607143,0.22321429
B1,4,0.54497354,0.05489418,0.09986772,0.54497354,0.30026455
B1,4,0.44675926,0.04596561,0.1087963,0.44675926,0.39847884
A1,4,0.52678571,0.08035714,0.07142857,0.32142857,0.52678571
A1,4,0.51785714,0.125,0.04464286,0.3125,0.51785714
A1,4,0.50892857,0.125,0.07142857,0.29464286,0.50892857
A1,4,0.51785714,0.14285714,0.08928571,0.25,0.51785714
A1,3,0.41071429,0.125,0.10714286,0.35714286,0.41071429
B1,4,0.50892857,0.10714286,0.08035714,0.50892857,0.30357143
B1,4,0.5625,0.09821429,0.13392857,0.5625,0.20535714
B1,4,0.51785714,0.05357143,0.16964286,0.51785714,0.25892857
B1,4,0.45535714,0.02678571,0.15178571,0.45535714,0.36607143
B1,4,0.48214286,0.05357143,0.16964286,0.48214286,0.29464286
B1,3,0.43452381,0.06349206,0.10813492,0.43452381,0.39384921
A1,4,0.51884921,0.08134921,0.09920635,0.30059524,0.51884921
A1,4,0.52678571,0.07142857,0.125,0.27678571,0.52678571
A1,4,0.55357143,0.02678571,0.08928571,0.33035714,0.55357143
