gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
74,0.1,2,B1,3,0.36607143,0.21428571,0.20535714,0.36607143,0.21428571
75,0.1,2,A1,4,0.35714286,0.28571429,0.1875,0.16964286,0.35714286
76,0.1,2,A1,4,0.35714286,0.25,0.23214286,0.16071429,0.35714286
77,0.1,2,A1,4,0.32142857,0.21428571,0.19642857,0.26785714,0.32142857
78,0.1,2,A1,3,0.29464286,0.24107143,0.1875,0.27678571,0.29464286
79,0.1,2,B1,4,0.26785714,0.22321429,0.25892857,0.26785714,0.25
80,0.1,2,B1,4,0.3125,0.16071429,0.25892857,0.3125,0.26785714
81,0.1,2,B1,4,0.34821429,0.125,0.22321429,0.34821429,0.30357143
82,0.1,2,A1,3,0.36607143,0.14285714,0.19642857,0.29464286,0.36607143
83,0.1,2,A1,3,0.40178571,0.13392857,0.13392857,0.33035714,0.40178571
84,0.1,2,B1,4,0.375,0.17857143,0.09821429,0.375,0.34821429
85,0.1,2,B1,4,0.29464286,0.19642857,0.25892857,0.29464286,0.25
86,0.1,2,B1,4,0.30357143,0.14285714,0.27678571,0.30357143,0.27678571
87,0.1,2,A1,3,0.30357143,0.22321429,0.22321429,0.25,0.30357143
88,0.1,2,B1,4,0.28571429,0.24107143,0.25892857,0.28571429,0.21428571
89,0.1,2,B1,3,0.29464286,0.24107143,0.1875,0.29464286,0.27678571
90,0.1,2,A1,3,0.34821429,0.29464286,0.1875,0.16964286,0.34821429
91,0.1,2,A1,4,0.36607143,0.17857143,0.16071429,0.29464286,0.36607143
92,0.1,2,B1,3,0.4375,0.08928571,0.125,0.4375,0.34821429
93,0.1,2,B1,4,0.38392857,0.125,0.14285714,0.38392857,0.34821429
94,0.1,2,A1,3,0.38392857,0.11607143,0.15178571,0.34821429,0.38392857
95,0.1,2,A1,3,0.41964286,0.1875,0.14285714,0.25,0.41964286
96,0.1,2,A1,3,0.47321429,0.21428571,0.15178571,0.16071429,0.47321429
97,0.1,2,A1,2,0.30942118,0.2010468,0.20166256,0.28786946,0.30942118
98,0.1,2,A2,4,0.2820197,0.20997537,0.2820197,0.27894089,0.22906404
99,0.1,2,B1,3,0.3125,0.1875,0.30357143,0.3125,0.19642857
100,0.1,2,B1,3,0.34358466,0.27414021,0.24537037,0.34358466,0.13690476
1,0.1,7,A1,1,0.35535714,0.27142857,0.23392857,0.13928571,0.35535714
2,0.1,7,A2,4,0.47420635,0.46263228,0.47420635,0.02678571,0.03637566
3,0.1,7,A2,4,0.67956349,0.29298942,0.67956349,0,0.02744709
4,0.1,7,A2,4,0.73214286,0.25892857,0.73214286,0,0.00892857
5,0.1,7,A2,4,0.41656404,0.28171182,0.41656404,0.19827586,0.10344828
6,0.1,7,B1,4,0.403633,0.19242611,0.17549261,0.403633,0.22844828
7,0.1,7,B1,3,0.40178571,0.09821429,0.16071429,0.40178571,0.33928571
8,0.1,7,A1,4,0.61243386,0.0271164,0.09920635,0.26124339,0.61243386
9,0.1,7,A1,4,0.69444444,0.09259259,0.06481481,0.14814815,0.69444444
10,0.1,7,A1,4,0.5462963,0.19047619,0.07275132,0.19047619,0.5462963
11,0.1,7,A1,4,0.47321429,0.24107143,0.11607143,0.16964286,0.47321429
12,0.1,7,A1,1,0.32506614,0.25429894,0.25628307,0.16435185,0.32506614
13,0.1,7,A2,4,0.37962963,0.18518519,0.37962963,0.25925926,0.17592593
14,0.1,7,A2,4,0.46263228,0.11838624,0.46263228,0.25562169,0.16335979
15,0.1,7,A2,4,0.54464286,0.08035714,0.54464286,0.27678571,0.09821429
16,0.1,7,A2,3,0.45535714,0.04464286,0.45535714,0.36607143,0.13392857
17,0.1,7,B1,4,0.375,0.125,0.28571429,0.375,0.21428571
18,0.1,7,A1,4,0.33035714,0.17857143,0.1875,0.30357143,0.33035714
19,0.1,7,A1,4,0.52678571,0.20535714,0.09821429,0.16964286,0.52678571
20,0.1,7,A1,4,0.52678571,0.27678571,0.07142857,0.125,0.52678571
21,0.1,7,A1,4,0.44642857,0.33928571,0.08928571,0.125,0.44642857
22,0.1,7,A1,4,0.34821429,0.27678571,0.16964286,0.20535714,0.34821429
23,0.1,7,A1,1,0.33035714,0.16964286,0.26785714,0.23214286,0.33035714
24,0.1,7,A1,2,0.24107143,0.16964286,0.29464286,0.29464286,0.24107143
25,0.1,7,A2,3,0.41071429,0.125,0.41071429,0.33928571,0.125
26,0.1,7,A2,3,0.41964286,0.10714286,0.41964286,0.32142857,0.15178571
27,0.1,7,B1,4,0.34821429,0.125,0.33035714,0.34821429,0.19642857
28,0.1,7,A1,4,0.30357143,0.16964286,0.23214286,0.29464286,0.30357143
29,0.1,7,A1,4,0.41071429,0.19642857,0.13392857,0.25892857,0.41071429
30,0.1,7,A1,4,0.44642857,0.20535714,0.08928571,0.25892857,0.44642857
31,0.1,7,A1,4,0.39285714,0.3125,0.04464286,0.25,0.39285714
32,0.1,7,A1,4,0.24107143,0.30357143,0.15178571,0.30357143,0.24107143
33,0.1,7,B1,2,0.34821429,0.21428571,0.26785714,0.34821429,0.16964286
34,0.1,7,A2,4,0.3125,0.22321429,0.3125,0.29464286,0.16964286
35,0.1,7,B1,3,0.39285714,0.15178571,0.33035714,0.39285714,0.125
36,0.1,7,B1,4,0.45535714,0.125,0.32142857,0.45535714,0.09821429
37,0.1,7,B1,3,0.33928571,0.19642857,0.22321429,0.33928571,0.24107143
38,0.1,7,A1,4,0.35714286,0.25892857,0.14285714,0.24107143,0.35714286
39,0.1,7,A1,4,0.36607143,0.27678571,0.21428571,0.14285714,0.36607143
40,0.1,7,A1,4,0.38392857,0.26785714,0.1875,0.16071429,0.38392857
41,0.1,7,A1,4,0.46428571,0.23214286,0.09821429,0.20535714,0.46428571
42,0.1,7,A1,4,0.48399015,0.17549261,0.14809113,0.19242611,0.48399015
43,0.1,7,B1,3,0.34421182,0.1487069,0.2195197,0.34421182,0.28756158
44,0.1,7,B1,4,0.44642857,0.15178571,0.23214286,0.44642857,0.16964286
45,0.1,7,B1,3,0.33928571,0.17857143,0.30357143,0.33928571,0.17857143
46,0.1,7,A2,4,0.34821429,0.24107143,0.34821429,0.20535714,0.20535714
47,0.1,7,A2,3,0.3125,0.29464286,0.3125,0.19642857,0.19642857
48,0.1,7,A2,2,0.33035714,0.25892857,0.33035714,0.16071429,0.25
49,0.1,7,A1,4,0.33035714,0.25,0.25892857,0.16071429,0.33035714
50,0.1,7,A1,4,0.39285714,0.20535714,0.15178571,0.25,0.39285714
51,0.1,7,A1,4,0.42857143,0.15178571,0.11607143,0.30357143,0.42857143
52,0.1,7,A1,4,0.4375,0.14285714,0.08928571,0.33035714,0.4375
53,0.1,7,B1,4,0.33928571,0.14285714,0.1875,0.33928571,0.33035714
54,0.1,7,A2,3,0.33928571,0.15178571,0.33928571,0.3125,0.19642857
55,0.1,7,A2,4,0.42857143,0.16071429,0.42857143,0.25892857,0.15178571
56,0.1,7,A2,4,0.33928571,0.26785714,0.33928571,0.25,0.14285714
57,0.1,7,B2,4,0.39285714,0.39285714,0.22321429,0.25,0.13392857
58,0.1,7,B2,3,0.3125,0.3125,0.16071429,0.26785714,0.25892857
59,0.1,7,A1,4,0.41071429,0.1875,0.125,0.27678571,0.41071429
60,0.1,7,A1,4,0.38392857,0.15178571,0.13392857,0.33035714,0.38392857
61,0.1,7,A1,4,0.44675926,0.09953704,0.1276455,0.3260582,0.44675926
62,0.1,7,A1,3,0.45568783,0.09060847,0.17228836,0.28141534,0.45568783
63,0.1,7,A1,3,0.39087302,0.13690476,0.1630291,0.30919312,0.39087302
