gen,s,a,tabprefID,tabrankpref,tabfreqofmaxpref,tabPBOB2avg,tabPAOA2avg,tabPBOB1avg,tabPAOA1avg
99,0.1,2,B2,4,0.42886168,0.42886168,0.32559986,0,0.24553846
100,0.1,2,B2,4,0.51942979,0.51942979,0.26918858,0,0.21138163
1,0.1,7,B1,2,0.34725,0.1612,0.15405,0.34725,0.3375
2,0.1,7,B1,2,0.42501903,0.268712,0.306268972,0.42501903,0
3,0.1,7,A2,4,0.44517006,0.21343068,0.445170062,0.34139925,0
4,0.1,7,A2,4,0.55038058,0.17297664,0.550380583,0.27664278,0
5,0.1,7,A2,3,0.49616974,0.27819768,0.496169741,0.12551255,0.100120024
6,0.1,7,B2,4,0.44653931,0.44653931,0.369923985,0,0.183536707
7,0.1,7,B2,4,0.55573036,0.55573036,0.289595828,0,0.154673809
8,0.1,7,B2,3,0.50910091,0.50910091,0.120912091,0.09850985,0.271477148
9,0.1,7,A1,4,0.45324532,0.37118712,0,0.17556756,0.453245325
10,0.1,7,A1,4,0.55973664,0.29199141,0,0.14827195,0.559736645
11,0.1,7,A1,3,0.5090018,0.12207441,0.110322064,0.25860172,0.5090018
12,0.1,7,B1,4,0.42393479,0,0.195589118,0.42393479,0.380476095
13,0.1,7,B1,4,0.52740548,0,0.166383277,0.52740548,0.306211242
14,0.1,7,B1,4,0.61080416,0,0.153988085,0.61080416,0.23520776
15,0.1,7,B1,4,0.6721312,0,0.131977772,0.6721312,0.195891026
16,0.1,7,B1,3,0.56347748,0.06576315,0.2820505,0.56347748,0.088708871
17,0.1,7,A2,4,0.4979996,0.12172434,0.4979996,0.38027606,0
18,0.1,7,A2,3,0.49169834,0.22409482,0.49169834,0.1689838,0.115223045
19,0.1,7,A2,3,0.39917984,0.38672735,0.399179836,0,0.214092819
20,0.1,7,B2,4,0.50275055,0.50275055,0.317913583,0,0.179335867
21,0.1,7,B2,4,0.59931986,0.59931986,0.25235047,0,0.148329666
22,0.1,7,B2,3,0.53070614,0.53070614,0.116973395,0.08981796,0.262502501
23,0.1,7,A1,4,0.43453691,0.39987998,0,0.16558312,0.434536907
24,0.1,7,A1,4,0.53110622,0.32231446,0,0.14657932,0.531106221
25,0.1,7,A1,3,0.49359872,0.1379776,0.117823565,0.25060012,0.49359872
26,0.1,7,B1,4,0.40758152,0,0.217343469,0.40758152,0.375075015
27,0.1,7,B1,4,0.50807359,0,0.19277923,0.50807359,0.299147183
28,0.1,7,B1,4,0.58903978,0,0.173025279,0.58903978,0.237934941
29,0.1,7,B1,4,0.6539808,0,0.148329666,0.6539808,0.197689538
30,0.1,7,B1,4,0.71584317,0,0.128875775,0.71584317,0.155281056
31,0.1,7,B1,2,0.5780156,0.05281056,0.300110022,0.5780156,0.069063813
32,0.1,7,A2,3,0.45071123,0.17914846,0.450711234,0.20739148,0.162748825
33,0.1,7,A2,3,0.38919893,0.33127889,0.389198931,0,0.279522179
34,0.1,7,B2,4,0.46066656,0.46066656,0.317849614,0,0.221483826
35,0.1,7,B2,4,0.55233489,0.55233489,0.257637571,0,0.190027534
36,0.1,7,B2,4,0.63122625,0.63122625,0.212642529,0,0.156131226
37,0.1,7,B2,3,0.54780956,0.54780956,0.094568914,0.0730146,0.284606921
38,0.1,7,A1,4,0.4754951,0.38767754,0,0.13682737,0.475495099
39,0.1,7,A1,3,0.46374275,0.1744849,0.128025605,0.23374675,0.463742749
40,0.1,7,B1,4,0.38432687,0,0.24134827,0.38432687,0.374324865
41,0.1,7,B1,4,0.48539708,0,0.217093419,0.48539708,0.297509502
42,0.1,7,B1,4,0.5693437,0,0.193797762,0.5693437,0.236858535
43,0.1,7,B1,4,0.62765537,0,0.167092421,0.62765537,0.205252214
44,0.1,7,B1,4,0.69250218,0,0.141071814,0.69250218,0.166426004
45,0.1,7,B1,2,0.5625762,0.05586117,0.30875535,0.5625762,0.072807281
46,0.1,7,A2,2,0.45134027,0.18858772,0.451340268,0.19938988,0.160682136
47,0.1,7,A2,2,0.38507702,0.34281856,0.385077015,0,0.272104421
48,0.1,7,B2,4,0.47414483,0.47414483,0.314612923,0,0.211242248
49,0.1,7,B2,4,0.57311462,0.57311462,0.25075015,0,0.176135227
50,0.1,7,B2,3,0.50565113,0.50565113,0.114622925,0.09096819,0.288757752
51,0.1,7,A1,4,0.46754351,0.36327265,0,0.16918384,0.467543509
52,0.1,7,A1,4,0.56506301,0.28495699,0,0.14998,0.565063013
53,0.1,7,A1,3,0.51510302,0.11827365,0.105171034,0.26145229,0.515103021
54,0.1,7,B1,4,0.43138628,0,0.193388678,0.43138628,0.375225045
55,0.1,7,B1,4,0.53772794,0,0.167675589,0.53772794,0.294596468
56,0.1,7,B1,4,0.61792617,0,0.148028517,0.61792617,0.234045311
57,0.1,7,B1,3,0.67861791,0,0.127682394,0.67861791,0.193699693
58,0.1,7,B1,3,0.56608415,0.06737021,0.282378802,0.56608415,0.084166833
59,0.1,7,A2,4,0.4949985,0.1219866,0.4949985,0.3830149,0
60,0.1,7,A2,3,0.48777473,0.22405027,0.487774728,0.1736521,0.114522905
61,0.1,7,A2,3,0.40301191,0.38315526,0.403011906,0,0.213832836
62,0.1,7,B2,4,0.49317726,0.49317726,0.325446392,0,0.181376344
63,0.1,7,B2,4,0.5870174,0.5870174,0.25910182,0,0.153880776
64,0.1,7,B2,3,0.51462363,0.51462363,0.120624125,0.09137741,0.273374831
65,0.1,7,A1,4,0.44375891,0.39034878,0,0.16589232,0.443758908
66,0.1,7,A1,4,0.54207843,0.3156999,0,0.14222167,0.542078428
67,0.1,7,A1,3,0.49866975,0.13241324,0.119123825,0.24979319,0.498669746
68,0.1,7,B1,4,0.41268254,0,0.218393679,0.41268254,0.368923785
69,0.1,7,B1,4,0.51795359,0,0.187437487,0.51795359,0.294608922
70,0.1,7,B1,4,0.60372074,0,0.167683537,0.60372074,0.228595719
71,0.1,7,B1,4,0.6684689,0,0.142784884,0.6684689,0.188746212
72,0.1,7,B1,3,0.55029527,0.06976395,0.29531539,0.55029527,0.084625388
73,0.1,7,A2,3,0.42358472,0.21719344,0.423584717,0.19818964,0.161032206
74,0.1,7,B2,4,0.37127425,0.37127425,0.361872374,0,0.266853371
75,0.1,7,B2,4,0.50485097,0.50485097,0.295759152,0,0.199389878
76,0.1,7,B2,4,0.60310283,0.60310283,0.224604839,0,0.172292331
77,0.1,7,B2,3,0.51808583,0.51808583,0.099179754,0.08031606,0.302418356
78,0.1,7,A1,4,0.48744749,0.3660232,0,0.14652931,0.487447489
79,0.1,7,A1,3,0.46519304,0.17003401,0.117923585,0.24684937,0.465193039
80,0.1,7,B1,4,0.40173035,0,0.222294459,0.40173035,0.375975195
81,0.1,7,B1,4,0.50595119,0,0.193088618,0.50595119,0.300960192
82,0.1,7,B1,4,0.59206841,0,0.170034007,0.59206841,0.23789758
83,0.1,7,B1,4,0.65093019,0,0.149479896,0.65093019,0.199589918
84,0.1,7,B1,4,0.71304261,0,0.126275255,0.71304261,0.160682136
85,0.1,7,B1,2,0.570644,0.05975598,0.297035515,0.570644,0.072564513
86,0.1,7,A2,3,0.44733642,0.18324302,0.447336416,0.20132013,0.16810043
87,0.1,7,A2,3,0.38969878,0.32247684,0.389698781,0,0.287824375
88,0.1,7,B2,4,0.44618924,0.44618924,0.320764153,0,0.233046609
89,0.1,7,B2,4,0.53785757,0.53785757,0.26095219,0,0.201190238
90,0.1,7,B2,4,0.62087417,0.62087417,0.218043609,0,0.161082216
91,0.1,7,B2,3,0.53755751,0.53755751,0.096569314,0.07696539,0.288907782
92,0.1,7,A1,4,0.474319,0.3846592,0,0.1410218,0.474319001
93,0.1,7,A1,3,0.46291672,0.17731773,0.127175435,0.23259011,0.462916721
94,0.1,7,B1,4,0.38272655,0,0.237047409,0.38272655,0.380226045
95,0.1,7,B1,4,0.48774755,0,0.206091218,0.48774755,0.306161232
96,0.1,7,B1,4,0.57746549,0,0.180186037,0.57746549,0.24234847
97,0.1,7,B1,4,0.64232847,0,0.157181436,0.64232847,0.200490098
98,0.1,7,B1,4,0.70464093,0,0.135577115,0.70464093,0.159781956
99,0.1,7,B1,2,0.56588314,0.05541662,0.30728595,0.56588314,0.071414283
100,0.1,7,A2,3,0.45699468,0.18472956,0.456994684,0.1996599,0.158615862
1,0.4,7,A1,3,0.5081,0.0125,0.0909,0.3885,0.5081
